Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
KA,@KA_charts,2023-06-30T09:48:40.000Z,False,Larsen and Tourbo -- what a move and strength.#l_t,2,0,36,4K,['#l_t'],[],[],https://pbs.twimg.com/profile_images/1143124286036533250/JewcWtYl_normal.jpg,https://twitter.com/KA_charts/status/1674716575104901121,tweet_id:1674716575104901121
YourNextRecruiter,@YNRRecruiter,2020-06-04T17:10:10.000Z,False,"Larsen & Tourbo Limited. is hiring for Multimedia #DeveloperLocation #Bengaluru #BengaluruJobsPlease mention - ""Interested"" for the job applying link or check out Featured Post on Linkedin.#hiring #helpinghands #jobs #job #jobsearch #jobseekers #JobsDuringCorona",0,1,0,0,"['#Developer', '#Bengaluru', '#BengaluruJobs', '#hiring', '#helpinghands', '#jobs', '#job', '#jobsearch', '#jobseekers', '#JobsDuringCorona']",[],[],https://pbs.twimg.com/profile_images/1229453243010256905/OIVpRYgV_normal.jpg,https://twitter.com/YNRRecruiter/status/1268590884335034376,tweet_id:1268590884335034376
Maneesh Media,@ManeeshMedia,2020-06-09T06:11:25.000Z,False,"Wishing the best to the one man who has helped build India brick by brick, track by track, unit by unit… The retired chairman of #Larsen & #Tourbo, a proud Jewel of Gujarat & a son of India. #HappyBirthday #JewelsofGujarat",1,3,6,0,"['#Larsen', '#Tourbo', '#HappyBirthday', '#JewelsofGujarat']",[],[],https://pbs.twimg.com/profile_images/889395902703697921/FWpSyWgg_normal.jpg,https://twitter.com/ManeeshMedia/status/1270237041532387334,tweet_id:1270237041532387334
NeoTrader,@NeoTrader_in,2019-01-04T07:19:44.000Z,True,"1. The blue chip of blue chips, a firm that has created benchmarks for corporate governance, manufacturing, infrastructure projects in India. Our first large cap stock recommendation for 2019 is Larsen & Tourbo #sensex #stockmarket #nifty50 #largecaps",0,1,6,0,"['#sensex', '#stockmarket', '#nifty50', '#largecaps']",[],[],https://pbs.twimg.com/profile_images/1754425848072146944/8alpbIB8_normal.jpg,https://twitter.com/NeoTrader_in/status/1081087767948472320,tweet_id:1081087767948472320
PEC GREENING INDIA,@PECGreeningIND,2019-11-16T11:19:25.000Z,False,"Ms. Mala Singh, Chairperson & MD - PEC Greening India was invited by LTI (Larsen & Tourbo Group Company)as a Chief guest in the launching ceremony of their new initiative ""Diversity Club"" on  14 Nov 2019. #pecgreeningindia #lTI #sustainability",0,1,4,0,"['#pecgreeningindia', '#lTI', '#sustainability']",[],[],https://pbs.twimg.com/profile_images/1579039272929177600/SU913qxl_normal.jpg,https://twitter.com/PECGreeningIND/status/1195662652279685120,tweet_id:1195662652279685120
Sandeep Singh Ahluwalia,@sahluwalia032,2018-09-03T08:38:02.000Z,False,"Larsen & Tourbo, MindTree, Future Retail and KDDL: A List of Astounding Opportunities https://m.in.investing.com/analysis/larsen--tourbo-mindtree-future-retail-and-kddl-a-list-of-astounding-opportuni-200204698… #MondayMotivation #nifty50 #Headlines #JustIn #BQLive #BQOpinion #MultiBagger",0,3,2,0,"['#MondayMotivation', '#nifty50', '#Headlines', '#JustIn', '#BQLive', '#BQOpinion', '#MultiBagger']",[],[],https://pbs.twimg.com/profile_images/1340185166220677121/VWdePMh-_normal.jpg,https://twitter.com/sahluwalia032/status/1036533766183768064,tweet_id:1036533766183768064
News Next Now,@NewsNextNow1,2020-10-19T15:58:30.000Z,False,Bullet Train Project: Larsen & Tourbo wins financial bids for design and construction of viaduct | Companies News https://newsnextnow.com/bullet-train-project-larsen-tourbo-wins-financial-bids-for-design-and-construction-of-viaduct-companies-news/…,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1310607478770536448/V6fFIl2N_normal.jpg,https://twitter.com/NewsNextNow1/status/1318219983772594177,tweet_id:1318219983772594177
V Media Network,@VMediaNetwork1,2020-10-19T15:19:19.000Z,False,Bullet Train Project: Larsen & Tourbo wins financial bids for design and construction of viaduct https://vmedianetwork.in/business/bullet-train-project-larsen-tourbo-wins-financial-bids-for-design-and-construction-of-viaduct/…,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1287409564216827906/B-3PtsTh_normal.jpg,https://twitter.com/VMediaNetwork1/status/1318210123232432128,tweet_id:1318210123232432128
justnownews,@JustnownewsCom,2020-10-19T15:28:38.000Z,False,Bullet Train Project: Larsen & Tourbo wins financial bids for design and construction of viaduct | Companies News https://justnownews.com/bullet-train-project-larsen-tourbo-wins-financial-bids-for-design-and-construction-of-viaduct-companies-news/…,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1260965578128293889/mcoGgZuQ_normal.png,https://twitter.com/JustnownewsCom/status/1318212469068865537,tweet_id:1318212469068865537
Pankaj Agarwal,@pankajagarwal75,2020-07-15T04:54:32.000Z,False,I thought there is a confusion due to name larsen & tourbo.,2,2,3,0,[],[],[],https://pbs.twimg.com/profile_images/1345730836155363328/XwQSH2Nq_normal.jpg,https://twitter.com/pankajagarwal75/status/1283263657275621376,tweet_id:1283263657275621376
Quickenews,@quickenews,2020-10-19T16:21:43.000Z,False,Bullet Train Project: Larsen & Tourbo wins financial bids for design and construction of viaduct https://quickenews.com/bullet-train-project-larsen-tourbo-wins-financial-bids-for-design-and-construction-of-viaduct/…,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1305887323079540736/Vv11xsEQ_normal.jpg,https://twitter.com/quickenews/status/1318225826647859200,tweet_id:1318225826647859200
Manish kumar,@sendmanishkumar,2020-10-19T15:35:23.000Z,False,Bullet Train Project: Larsen & Tourbo wins financial bids for design and construction of viaduct | Companies News https://answersadda.com/bullet-prepare-mission-larsen-tourbo-wins-monetary-bids-for-design-and-development-of-viaduct-corporations-information/…,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1563519345204297728/MZbfPnRM_normal.jpg,https://twitter.com/sendmanishkumar/status/1318214165794820097,tweet_id:1318214165794820097
stock viv,@Viveks8848,2022-05-15T15:15:27.000Z,False,larsen tourbo  share price on 51/4/2022 and money control is my new favorite,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1340502686722973696/RwIlbqxR_normal.jpg,https://twitter.com/Viveks8848/status/1525857396379492352,tweet_id:1525857396379492352
day to day,@01_daytoday,2020-10-29T09:40:56.000Z,False,"LARSEN & TOURBO’s NET PROFIT FALLS BY 45%Larsen and Toubro (L&T), the country’s huge infrastructure and construction Company, reported a 45% year-on-year decline in the September quarter.#Larson #market #Value",0,3,3,0,"['#Larson', '#market', '#Value']",[],[],https://pbs.twimg.com/profile_images/1319920048048254976/iFP0jiFH_normal.jpg,https://twitter.com/01_daytoday/status/1321748848105070592,tweet_id:1321748848105070592
Stocktrader___,@stocktrader__,2022-03-07T15:34:19.000Z,False," Stocks to Watch

On Daily Time Frame: Tata Consumer Product Kotak Bank  Larsen &amp; Tourbo#stocks #nifty50 #Nifty #daytrading #kotakbank #banknifty  #StockToWatch",0,1,3,0,"['#stocks', '#nifty50', '#Nifty', '#daytrading', '#kotakbank', '#banknifty', '#StockToWatch']",[],"['\\U0001f31f', '\\U0001fa99', '\\U0001fa99', '\\U0001fa99']",https://pbs.twimg.com/profile_images/1566277153913995264/QT_oqb10_normal.jpg,https://twitter.com/stocktrader__/status/1500857381554589697,tweet_id:1500857381554589697
Jay Mithawala,@Mithawala_Jay,2021-08-09T10:20:40.000Z,False,Larsen & Tourbo,1,0,2,0,[],[],[],https://pbs.twimg.com/profile_images/1588839098868912128/CM-eN_-z_normal.jpg,https://twitter.com/Mithawala_Jay/status/1424676998274719746,tweet_id:1424676998274719746
Junsupreme,@RyszardJonski,2024-01-17T20:21:58.000Z,True,"India will begin testing the Zorawar light tank in April 2024.
The Indian-developed Zorawar light tank was jointly developed by Larsen & Tourbo and DRDO.
The tests will be carried out in desert and high mountain areas. The Zorawar light tank has a combat weight of approximately…",2,18,94,12K,[],[],[],https://pbs.twimg.com/profile_images/1512460365917048834/laEvyk3K_normal.jpg,https://twitter.com/RyszardJonski/status/1747715908909318213,tweet_id:1747715908909318213
নর্থ ইস্ট গার্ল,@Sweet_Honeygal,2020-02-29T18:20:05.000Z,True,"Thanks Larsen & Tourbo 

Now you will be called ""Sangi"" in Secular India",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1676332099052384256/qRoF1j9A_normal.jpg,https://twitter.com/Sweet_Honeygal/status/1233819244489371648,tweet_id:1233819244489371648
